app,key,english,french
common,AND,AND,ET
common,IS,IS,EST
common,ISNOT,IS NOT,N'EST PAS
common,OR,OR,OU
common,areYouSure,Are you sure?,Êtes-vous certain?
common,backToListButtonText,Back to List,Retour à la liste
common,cancelButtonText,Cancel,Annuler
common,checkAllTooltipMessage,Check this header box to check all visible items in this page.,
common,closeButtonText,Close,Fermer
common,createButtonText,Create New,Créer nouveau
common,deleteButtonText,Delete,Supprimer
common,editButtonText,Edit,Modifier
common,field_author,Author,
common,field_changedProperties,Changed Properties,
common,field_commitDateTime,Commit Date and Time,
common,field_resourceName,Resource Name,
common,field_snapshotType,Snapshot Type,
common,field_version,Version,
common,filterBlankField,Blank Field,Champ vide
common,filterExactMatch,Exact Match,Correspondance exacte
common,filterGreaterThan,Greater Than,Plus grand que
common,filterLessThan,Less Than,Plus petit que
common,filterPartialMatch,Partial Match,Correspondance partielle
common,filterSubmitButtonText,Filter List,Filtrer la liste
common,loadingText,Loading...,Chargement en cours...
common,loggedInAsUser,Logged in as: {name},Connecté en tant que : {name}
common,logoutBtn,Logout,Fermer la session
common,next,Next,
common,no,No,Non
common,of,of,
common,noRowsFound,No Rows Found,
common,previous,Previous,
common,resetButtonText,Reset,Réinitialiser
common,rows,rows,
common,select,Select,
common,selected,selected,
common,showChanges,Show Changes,
common,submitBtnText,Save,Enregistrer
common,tableTotalCount,Total matched records: {totalCount},Nombre de dossiers correspondants : {totalCount}
common,queryTableMultiSortExplanation,"To sort by multiple columns: Click one column header to sort by that column, then press shift while you click an additional header.","Pour trier la liste en fonction de plusieurs colonnes : Cliquez sur un en-tête de colonne pour trier par cette colonne, puis appuyez sur la touche Maj pendant que vous cliquez sur un autre en-tête."
common,queryTableMultiSortTooltipTitle,Multi-column sorting,Trier en fonction de plusieurs colonnes 
common,yes,Yes,Oui
dina,addFilesButton,Add Files,Ajouter des fichiers
dina,addManagedAttributeButtonText,Add New Managed Attribute,Ajouter un nouvel attribut géré
dina,addObjectSubtypeTitle,Add New Object Subtype,Ajouter un nouveau sous-type d'objet
dina,addPersonTitle,Add Person,Ajouter une personne
dina,addPersonButtonText,Add Person,Ajouter une personne
dina,addPersonPopupTooltip,Add Person without leaving the page,Ajouter une personne sans quitter la page
dina,agentsSectionTitle,Agents,Agents
dina,appTitle,DINA,DINA
